,creationDate,avgLow,avgHigh,medianLow,medianHigh,countLow,countHigh,averageFactor,medianFactor
134,2019/19,8269611.586206896,23466926.32,3169892,14512154,29,25,2.837730173342253,4.578122535404992
101,2020/0,983357.6,5160734.285714285,844704,3889166,5,7,5.248074846540349,4.60417613743986
115,2019/38,5954102.5625,13404432.285714285,2402781,11201394,16,14,2.251293481260768,4.661845586426728
1,2021/50,270414.8888888889,416856.2580645161,74455,357747,9,31,1.5415432921513383,4.80487542811094
85,2020/16,5531921.117647059,9973247.888888888,1895449,9523076,34,18,1.8028543207302452,5.024179495201401
24,2021/27,2061121.7647058824,3051953.75,532386,2674963,17,8,1.4807246239697571,5.024480358236318
150,2018/50,14701547.85,39495765.0,7776639,39495765,40,1,2.686503856803078,5.078770533131344
162,2018/33,20305237.975609757,35443431.0,6325520,35443431,41,1,1.745531426057352,5.603243843984368
118,2019/35,5567148.041666667,12350234.764705881,1916819,10883377,24,17,2.218413211265804,5.677832387930211
147,2019/4,25038068.555555556,32183978.75,5504885,31703615,27,8,1.2854018143847152,5.759178438786641
62,2020/39,6751529.0,6809454.444444444,519268,3055687,9,9,1.0085796038859411,5.884604866851029
144,2019/9,5418388.230769231,12895259.0,2157176,12895259,13,1,2.3799068008401645,5.977842790759771
122,2019/31,10189110.733333332,15166755.754385965,1692422,10155126,15,57,1.4885259520017222,6.000350976293147
135,2019/18,13963376.051282052,39748584.18181818,7758556,47167370,39,22,2.846631361630388,6.079400599802335
169,2018/21,12034912.416666666,28336153.0,4242549,28336153,12,1,2.354495987919148,6.679039652812495
75,2020/26,12255387.384615384,13669771.964285715,2151536,14428965,13,28,1.1154092102748099,6.706355366584617
154,2018/44,16320243.205479452,39135518.25,7164458,48475956,73,4,2.397973961372121,6.766172123557706
129,2019/24,4190225.652173913,11091844.0,1273389,9064885,23,5,2.6470755803438624,7.118708422956378
137,2019/16,6638855.090909091,9172984.75,622017,4519342,11,4,1.3817118500690002,7.2656245729618325
139,2019/14,8896871.294117646,22062218.266666666,1691771,12700508,17,15,2.4797726680899124,7.507226450861257
121,2019/32,10853333.4,13214363.307692308,1537408,13388523,20,13,1.2175396093233724,8.708503533219549
65,2020/36,7475192.2,7621023.222222222,863373,7878243,15,9,1.019508665238363,9.124958737417083
168,2018/24,7091498.774193549,29099453.666666668,2366218,22019900,31,3,4.103427863875769,9.305947296487474
156,2018/42,16442489.125,49801256.25,6137811,61677467,64,4,3.0288149118663323,10.048772599873146
175,2018/11,11045765.5,68057895.0,6671823,68924579,28,2,6.1614466647875155,10.330696572735818
146,2019/5,6886400.956521739,20215310.0,2008373,23595921,23,2,2.9355406587028843,11.74877425657485
5,2021/46,1048632.2,1295719.4210526317,105764,1275658,5,19,1.2356281077890148,12.061363034680987
148,2019/3,8768818.166666666,27696375.5,2275663,28087188,18,2,3.1585072211080365,12.342419769535296
138,2019/15,8068885.588235294,13157567.5,1883528,25851723,17,2,1.6306548600942086,13.725159912674513
180,2017/42,12546508.0,75784664.0,4332295,75784664,5,1,6.0402993406611625,17.492960197770465
164,2018/30,14485837.545454545,35409191.0,1974645,35409191,33,1,2.4444006698881497,17.93192751102097
158,2018/37,14601122.23076923,64014173.0,4856680,91238617,26,4,4.384195405549149,18.786211362494544
152,2018/47,7282525.043478261,33333140.0,1835220,37837991,23,12,4.577140456228285,20.61768670786064
174,2018/12,15039084.170212766,50826950.0,2430794,50826950,47,1,3.379657260025889,20.909608136271522
173,2018/16,9590674.0,51850704.5,2406748,50809095,35,6,5.4063671124678,21.111098876990862
172,2018/18,7509656.354838709,53651184.8,2252071,52790406,31,5,7.144292929653278,23.440826687968542
179,2017/49,10738259.032258065,41232962.0,3204287,77027206,31,2,3.8398181563822305,24.03879739861005
171,2018/19,4956176.384615385,38122329.0,1388616,38122329,13,1,7.691883024651152,27.453470937969893
55,2020/46,1851933.3333333333,5667381.777777778,173358,4850988,3,9,3.0602515089336073,27.98248710760392
149,2019/1,12582866.285714285,24278427.0,698247,24278427,14,1,1.92948303261905,34.77054251575732
177,2018/7,3249505.625,108601979.0,1641666,108601979,8,1,33.42107739850427,66.15351661056512
